pregunta,opcion_A,opcion_B,opcion_C,opcion_D,opcion_correcta
¿Qué selección ganó el Mundial 2014?,Brasil,Alemania,Argentina,España,Alemania
¿De qué color es la camiseta del FC Barcelona?,Roja,Azul y granate,Amarilla,Verde,Azul y granate
¿Qué selección ganó más Mundiales?,Italia,Argentina,Alemania,Brasil,Brasil
CR7 es el apodo de qué jugador?,Neymar,Cristiano Ronaldo,Mbappé,Figo,Cristiano Ronaldo
¿Qué selección ganó el Mundial 2022?,Francia,Argentina,Inglaterra,Portugal,Argentina
¿Cuál es el clásico rival del Real Madrid?,Sevilla,Valencia,FC Barcelona,Betis,FC Barcelona
¿En qué país se juega la Premier League?,Francia,España,Italia,Inglaterra,Inglaterra
¿Qué país ganó el primer Mundial en 1930?,Argentina,Italia,Uruguay,Alemania,Uruguay
¿En qué club italiano jugó Diego Maradona?,Juventus,Milan,Inter,Napoli,Napoli
¿En qué año se declaró la Independencia de Argentina?,1810,1816,1820,1853,1816
¿Quién fue el principal líder del proceso independentista argentino?,Manuel Belgrano,José de San Martín,Mariano Moreno,Bernardino Rivadavia,José de San Martín
¿Qué acontecimiento ocurrió el 25 de mayo de 1810?,La Independencia,La Revolución de Mayo,La sanción de la Constitución,La llegada de San Martín,La Revolución de Mayo
¿Qué color tiene la bandera creada por Manuel Belgrano?,Rojo y blanco,Azul y blanco,Celeste y amarillo,Verde y blanco,Azul y blanco
¿Quién es considerado el Padre de la Patria en Argentina?,Sarmiento,Belgrano,San Martín,Rosas,San Martín
¿Cuál fue la primera capital de Argentina?,Buenos Aires,Córdoba,Rosario,Paraná,Buenos Aires
¿Qué guerra lideró San Martín para independizar Chile y Perú?,Guerra del Paraguay,Cruce de los Andes,Campaña del Desierto,Guerra Civil Argentina,Cruce de los Andes
¿Quién fue el primer presidente constitucional de Argentina?,Sarmiento,Rosas,Bernardino Rivadavia,Mitre,Bernardino Rivadavia
¿Qué día se celebra el Día de la Bandera?,9 de Julio,20 de Junio,25 de Mayo,17 de Agosto,20 de Junio
¿En qué ciudad murió San Martín?,Buenos Aires,Mendoza,Boulogne-sur-Mer,Madrid,Boulogne-sur-Mer
¿Qué presidente impulsó fuertemente la educación pública?,Rosas,Sarmiento,Perón,Irigo,Sarmiento
¿Qué conflicto enfrentó Argentina y el Reino Unido en 1982?,Guerra del Paraguay,Revolución de Mayo,Guerra de Malvinas,Guerra Civil,Guerra de Malvinas
¿Quién fundó la ciudad de Buenos Aires por segunda vez?,Juan de Garay,Pedro de Mendoza,San Martín,Belgrano,Juan de Garay
¿Qué general argentino es conocido por su bigote y su apodo 'El Tigre'?,San Martín,Lavalle,Roca,Viamonte,Roca
¿Qué acontecimiento marcó el fin de la dictadura militar en Argentina?,Revolución de Mayo,Renuncia del presidente,Retorno de la democracia en 1983,Crisis del 2001,Retorno de la democracia en 1983
¿Qué empresa creó el sistema operativo Windows?,Apple,Google,Microsoft,IBM,Microsoft
¿Qué significa la sigla 'CPU'?,Central Process Unit,Computer Power Unit,Central Processing Unit,Control Processing Utility,Central Processing Unit
¿Qué empresa fabrica los iPhone?,Samsung,Nokia,Apple,Huawei,Apple
¿Qué es un 'pendrive'?,Un tipo de teclado,Un mouse inalámbrico,Un dispositivo de almacenamiento USB,Un parlante portátil,Un dispositivo de almacenamiento USB
¿Qué sistema operativo es usado en la mayoría de los teléfonos Samsung?,iOS,Windows Phone,Android,HarmonyOS,Android
¿Qué significa la sigla 'URL'?,Universal Route Link,Uniform Resource Locator,User Registration Login,Unified Random Link,Uniform Resource Locator
¿Qué empresa creó el buscador Google?,Amazon,Microsoft,Alphabet/Google,Meta,Alphabet/Google
¿Qué dispositivo se usa para imprimir?,Monitor,Router,Impresora,Proyector,Impresora
¿Qué empresa es conocida por la consola PlayStation?,Nintendo,Sony,Microsoft,Sega,Sony
¿Cuál de estos es un sistema operativo para computadoras?,Android,Linux,iOS,Chrome,Linux
¿Qué dispositivo permite conectarse a redes WiFi?,Teclado,Router,Pendrive,Monitor,Router
¿Cuál es la capital de Francia?,Berlín,Madrid,París,Roma,París
¿Quién escribió "Cien años de soledad"?,Gabriel García Márquez,Jorge Luis Borges,Julio Cortázar,Isabel Allende,Gabriel García Márquez
¿Cuál es el continente más grande?,Asia,África,América,Europa,Asia
¿Qué planeta es conocido como el Planeta Rojo?,Venus,Marte,Júpiter,Saturno,Marte
¿Quién pintó la Mona Lisa?,Vincent van Gogh,Pablo Picasso,Leonardo da Vinci,Claude Monet,Leonardo da Vinci
¿Cuál es el océano más grande del mundo?,Atlántico,Índico,Ártico,Pacífico,Pacífico
¿En qué año llegó el hombre a la Luna?,1965,1969,1972,1975,1969
¿Cuál es el idioma más hablado del mundo?,Inglés,Chino mandarín,Español,Árabe,Chino mandarín
¿Quién fue el primer presidente de los Estados Unidos?,George Washington,Thomas Jefferson,Abraham Lincoln,John Adams,George Washington
¿Qué instrumento musical tiene teclas?,Guitarra,Piano,Batería,Saxofón,Piano
¿Cuál es el animal terrestre más grande?,Elefante,Jirafa,Rinoceronte,Búfalo,Elefante
¿Qué es la fotosíntesis?,Un proceso de respiración,Un proceso de reproducción,Un proceso de producción de energía en plantas,Un proceso de digestión,Un proceso de producción de energía en plantas
¿Cuál es el país más poblado del mundo?,India,Estados Unidos,China,Indonesia,China
¿Quién es conocido como el "Rey del Pop"?,Elvis Presley,Michael Jackson,Prince,Freddie Mercury,Michael Jackson
¿Qué es el ADN?,Ácido desoxirribonucleico,Ácido ribonucleico,Proteína,Lípido,Ácido desoxirribonucleico
¿Cuál es la capital de Japón?,Pekín,Seúl,Tokio,Bangkok,Tokio
¿Quién fue la primera mujer en ganar un Premio Nobel?,Marie Curie,Jane Goodall,Simone de Beauvoir,Virginia Woolf,Marie Curie
¿Qué gas respiramos?,Oxígeno,Nitrógeno,Carbono,Helio,Oxígeno
¿Cuál es el deporte más popular del mundo?,Fútbol,Baloncesto,Tenis,Natación,Fútbol
¿Quién escribió "Don Quijote de la Mancha"?,Miguel de Cervantes,Lope de Vega,Garcilaso de la Vega,Fray Luis de León,Miguel de Cervantes
¿Cuál es el símbolo químico del oro?,Au,Ag,Fe,Hg,Au
¿En qué continente se encuentra Egipto?,Asia,África,Europa,América,África
¿Qué tipo de animal es un delfín?,Mamífero,Pájaro,Reptil,Anfibio,Mamífero
¿Cuál es la capital de Italia?,Roma,Madrid,Berlín,París,Roma
¿Quién descubrió América?,Cristóbal Colón,Fernando de Magallanes,Hernán Cortés,Francisco Pizarro,Cristóbal Colón
¿Cuánto es 5 + 3?,6,7,8,9,8
¿Cuánto es 12 - 4?,6,7,8,9,8
¿Cuánto es 3 x 4?,10,11,12,13,12
¿Cuánto es 16 ÷ 4?,2,3,4,5,4
